Test_ID,Type,Input,Best_Score,Doc_ID,Metadata,Latency_(s),Description
RAG-01,BM25 (Exact Match),'Grammar structure てもいいです',0.4396,e56b98b0-6493-4b19-a341-e95dbe7d2185,{'Header 1': 'Chapter 4 Essential Grammar'},0.7116,Exact grammar pattern name to trigger BM25 keyword search.
RAG-02,BM25 (Japanese Only),'~なければならない',0.4921,1744cba2-2807-40b9-b175-267b99be98b7,"{'Header 1': 'Chapter 5', 'Header 2': 'Honorific and Humble Forms', 'Header 3': ""Indication that there's nothing else using 「しか」"", 'Header 4': 'Examples'}",0.0243,"Japanese only text, testing if BM25 can tokenize and match long grammar patterns."
RAG-03,BM25 (Short Token),'Particle に',0.4772,18fa637b-8448-4485-89c0-e39563a11431,"{'Header 1': 'Chapter 3 Basic Grammar', 'Header 2': 'Past Tense', 'Header 3': 'The target 「に」 particle', 'Header 4': 'Examples'}",0.0264,Very short keyword. Tests if the retriever gets confused by single characters.
RAG-04,FAISS (Semantic Match),'How to ask for permission to do something?',0.4111,b9ec25e0-13f6-4274-a6ae-028d9c204291,"{'Header 1': 'Chapter 4 Essential Grammar', 'Header 2': 'Trying something out or attempting to do something', 'Header 3': 'Politely (and not so politely) making requests'}",0.0309,Querying by intent/meaning rather than exact keywords.
RAG-05,FAISS (Concept / Intent),"'Expressing desire, like I want to eat or I want to go.'",0.4944,98135b1d-7558-4dda-81a6-077923e5fd19,"{'Header 1': 'Chapter 4 Essential Grammar', 'Header 2': 'Potential Form', 'Header 3': 'Indicating things you want or want done using 「欲しい」', 'Header 4': 'Vocabulary'}",0.0286,Testing if FAISS maps 'want to' to the ~tai form.
RAG-06,FAISS (Abstract Concept),'Giving advice to someone',0.3399,b9ec25e0-13f6-4274-a6ae-028d9c204291,"{'Header 1': 'Chapter 4 Essential Grammar', 'Header 2': 'Trying something out or attempting to do something', 'Header 3': 'Politely (and not so politely) making requests'}",0.0237,Testing mapping 'advice' to ~hou ga ii or ~tara dou desu ka.
RAG-07,Mixed (Romaji + English),'Difference between particle wa and ga',0.3359,9cdb99c0-4e0e-4301-b41d-36707e676386,"{'Header 1': 'Chapter 3 Basic Grammar', 'Header 2': 'Past Tense', 'Header 3': 'The direct object 「を」 particle', 'Header 4': 'Vocabulary'}",0.0258,Using Romaji with English context to test hybrid resilience.
RAG-08,Mixed (Kanji/Kana + Romaji + Eng),'What is the difference between から (kara) and ので (node)?',0.4344,e1e2bb6e-5d8f-4d52-a34c-5ba60b56ec85,"{'Header 1': 'Chapter 6 Advanced Topics', 'Header 3': 'Using 「〜がてら」 to do two things at one time', 'Header 4': 'Vocabulary'}",0.033,Complex query containing 3 alphabets to test if weights balance correctly.
RAG-09,Mixed (Grammar terminology),'How to conjugate verbs into te-form',0.661,3d2f669d-1648-47bd-9ccd-12512e1fd0b1,"{'Header 1': 'Chapter 4 Essential Grammar', 'Header 2': 'Trying something out or attempting to do something', 'Header 3': 'To try something out', 'Header 4': 'Vocabulary'}",0.0258,"Testing linguistic terminology ('conjugate', 'te-form')."
RAG-10,Edge Case (Typos),'difrence betwen ni and de partcles',0.2877,0db68df4-9005-4065-89a4-2f064ae0652f,"{'Header 1': 'Chapter 5', 'Header 2': 'Honorific and Humble Forms', 'Header 3': 'Using 「ほど」 to express the extent of something', 'Header 4': 'Vocabulary'}",0.0253,Testing vector similarity robustness with misspelled English.
RAG-11,Edge Case (Conjugated Form),'taberareru',0.2678,8f5d321e-52c3-4767-8243-239011601899,"{'Header 1': 'Chapter 2 The Writing System', 'Header 2': 'Katakana'}",0.0116,Searching a conjugated verb instead of base grammar (Potential/Passive). Tests if retriever connects examples to rules.
RAG-12,Edge Case (Situational/Reasoning),'Is it polite to use plain form with my boss?',0.3749,5af836d5-eea1-4539-b38f-4f5ee49b179e,"{'Header 1': 'Chapter 5', 'Header 2': 'Causative and Passive Verbs', 'Header 3': 'Using passive form to show politeness', 'Header 4': 'Vocabulary'}",0.0267,Testing if the RAG can extract context about politeness levels from the guide.
